"","Year","State","FedMW","StateMW","StateAbbr"
"110",1970,"Alaska",1.3,2.1,"AK"
"111",1970,"Arizona",1.3,1.3,"AZ"
"112",1970,"Arkansas",1.3,1.3,"AR"
"113",1970,"California",1.3,1.65,"CA"
"114",1970,"Colorado",1.3,1.3,"CO"
"115",1970,"Connecticut",1.3,1.6,"CT"
"116",1970,"Delaware",1.3,1.3,"DE"
"117",1970,"District of Columbia",1.3,1.6,NA
"118",1970,"Florida",1.3,1.3,"FL"
"119",1970,"Georgia",1.3,1.3,"GA"
"120",1970,"Guam",1.3,1.6,NA
"121",1970,"Hawaii",1.3,1.6,"HI"
"122",1970,"Idaho",1.3,1.3,"ID"
"123",1970,"Illinois",1.3,1.3,"IL"
"124",1970,"Indiana",1.3,1.3,"IN"
"125",1970,"Iowa",1.3,1.3,"IA"
"126",1970,"Kansas",1.3,1.3,"KS"
"127",1970,"Kentucky",1.3,1.3,"KY"
"128",1970,"Louisiana",1.3,1.3,"LA"
"129",1970,"Maine",1.3,1.6,"ME"
"130",1970,"Maryland",1.3,1.3,"MD"
"131",1970,"Massachusetts",1.3,1.6,"MA"
"132",1970,"Michigan",1.3,1.3,"MI"
"133",1970,"Minnesota",1.3,1.3,"MN"
"134",1970,"Mississippi",1.3,1.3,"MS"
"135",1970,"Missouri",1.3,1.3,"MO"
"136",1970,"Montana",1.3,1.3,"MT"
"137",1970,"Nebraska",1.3,1.3,"NE"
"138",1970,"Nevada",1.3,1.3,"NV"
"139",1970,"New Hampshire",1.3,1.45,"NH"
"140",1970,"New Jersey",1.3,1.5,"NJ"
"141",1970,"New Mexico",1.3,1.3,"NM"
"142",1970,"New York",1.3,1.6,"NY"
"143",1970,"North Carolina",1.3,1.3,"NC"
"144",1970,"North Dakota",1.3,1.3,"ND"
"145",1970,"Ohio",1.3,1.3,"OH"
"146",1970,"Oklahoma",1.3,1.3,"OK"
"147",1970,"Oregon",1.3,1.3,"OR"
"148",1970,"Pennsylvania",1.3,1.3,"PA"
"149",1970,"Puerto Rico",1.3,1.3,NA
"150",1970,"Rhode Island",1.3,1.6,"RI"
"151",1970,"South Carolina",1.3,1.3,"SC"
"152",1970,"South Dakota",1.3,1.3,"SD"
"153",1970,"Tennessee",1.3,1.3,"TN"
"154",1970,"Texas",1.3,1.3,"TX"
"155",1970,"U.S. Virgin Islands",1.3,1.3,NA
"156",1970,"Utah",1.3,1.3,"UT"
"157",1970,"Vermont",1.3,1.6,"VT"
"158",1970,"Virginia",1.3,1.3,"VA"
"159",1970,"Washington",1.3,1.6,"WA"
"160",1970,"West Virginia",1.3,1.3,"WV"
"161",1970,"Wisconsin",1.3,1.3,"WI"
"162",1970,"Wyoming",1.3,1.3,"WY"
"163",1971,"Alabama",1.3,1.3,"AL"
"164",1971,"Alaska",1.3,2.1,"AK"
"165",1971,"Arizona",1.3,1.3,"AZ"
"166",1971,"Arkansas",1.3,1.3,"AR"
"167",1971,"California",1.3,1.65,"CA"
"168",1971,"Colorado",1.3,1.3,"CO"
"169",1971,"Connecticut",1.3,1.6,"CT"
"170",1971,"Delaware",1.3,1.3,"DE"
