"","State","date","price"
"125","South Carolina","2000-03-31",73233.7627863
"126","Alabama","2000-03-31",53526.5409617865
"127","Louisiana","2000-03-31",64234.840803936
"128","Kentucky","2000-03-31",55847.6046293167
"129","Oregon","2000-03-31",103980.784489943
"130","Oklahoma","2000-03-31",31611.9512727944
"131","Connecticut","2000-03-31",111771.399621355
"132","Utah","2000-03-31",115783.785187447
"133","Iowa","2000-03-31",63443.1182567787
"134","Nevada","2000-03-31",108489.593317527
"135","Arkansas","2000-03-31",49260.9121463152
"136","Mississippi","2000-03-31",NA
"137","Kansas","2000-03-31",45997.1704606952
"138","New Mexico","2000-03-31",NA
"139","Nebraska","2000-03-31",67119.7471635023
"140","Idaho","2000-03-31",78283.909001086
"141","West Virginia","2000-03-31",37706.487847557
"142","Hawaii","2000-03-31",142552.837934963
"143","New Hampshire","2000-03-31",97004.1780038587
"144","Maine","2000-03-31",83329.0400759126
"145","Rhode Island","2000-03-31",102330.121404855
"146","Montana","2000-03-31",NA
"147","Delaware","2000-03-31",97377.9204328561
"148","South Dakota","2000-03-31",NA
"149","North Dakota","2000-03-31",NA
"150","Alaska","2000-03-31",96134.686060237
"151","District of Columbia","2000-03-31",146665.994295608
"152","Vermont","2000-03-31",83458.6542850467
"153","Wyoming","2000-03-31",NA
"154","California","2000-04-30",142288.150730083
"155","Texas","2000-04-30",57950.7702004009
"156","Florida","2000-04-30",74050.5286106643
"157","New York","2000-04-30",97846.2603314346
"158","Pennsylvania","2000-04-30",64824.6976557295
"159","Illinois","2000-04-30",77489.5968637352
"160","Ohio","2000-04-30",63994.6271420803
"161","Georgia","2000-04-30",66125.8466129341
"162","North Carolina","2000-04-30",76257.3380688412
"163","Michigan","2000-04-30",71651.1004044531
"164","New Jersey","2000-04-30",115537.055755237
"165","Virginia","2000-04-30",75332.997699293
"166","Washington","2000-04-30",125934.804228638
"167","Arizona","2000-04-30",104914.277772069
"168","Massachusetts","2000-04-30",147163.630426138
"169","Tennessee","2000-04-30",66843.2917495679
"170","Indiana","2000-04-30",NA
