"","State","date","price"
"125","South Carolina","2000-03-31",103855.430500698
"126","Alabama","2000-03-31",79552.126206053
"127","Louisiana","2000-03-31",87284.8652980614
"128","Kentucky","2000-03-31",81041.2366287283
"129","Oregon","2000-03-31",150912.855201757
"130","Oklahoma","2000-03-31",72859.1702932648
"131","Connecticut","2000-03-31",172611.918587685
"132","Utah","2000-03-31",170549.977773359
"133","Iowa","2000-03-31",78556.9121912901
"134","Nevada","2000-03-31",164927.032021536
"135","Arkansas","2000-03-31",70753.6067345054
"136","Mississippi","2000-03-31",69728.3836137231
"137","Kansas","2000-03-31",74155.4724461532
"138","New Mexico","2000-03-31",NA
"139","Nebraska","2000-03-31",110384.377754899
"140","Idaho","2000-03-31",119524.767267084
"141","West Virginia","2000-03-31",60701.0461817808
"142","Hawaii","2000-03-31",207207.636227963
"143","New Hampshire","2000-03-31",136822.49583853
"144","Maine","2000-03-31",96851.9922963269
"145","Rhode Island","2000-03-31",133538.145991279
"146","Montana","2000-03-31",NA
"147","Delaware","2000-03-31",137721.482610169
"148","South Dakota","2000-03-31",94388.9004029564
"149","North Dakota","2000-03-31",NA
"150","Alaska","2000-03-31",128184.777527466
"151","District of Columbia","2000-03-31",171728.091945469
"152","Vermont","2000-03-31",91808.0212349518
"153","Wyoming","2000-03-31",NA
"154","California","2000-04-30",195453.574513753
"155","Texas","2000-04-30",107353.486332562
"156","Florida","2000-04-30",111593.78060735
"157","New York","2000-04-30",129296.757304578
"158","Pennsylvania","2000-04-30",91754.0472062802
"159","Illinois","2000-04-30",116691.633258604
"160","Ohio","2000-04-30",100126.628817602
"161","Georgia","2000-04-30",117694.097960118
"162","North Carolina","2000-04-30",122544.666389943
"163","Michigan","2000-04-30",102103.023982219
"164","New Jersey","2000-04-30",161171.555153377
"165","Virginia","2000-04-30",120270.366090435
"166","Washington","2000-04-30",178100.529079642
"167","Arizona","2000-04-30",134798.566604911
"168","Massachusetts","2000-04-30",201713.647563382
"169","Tennessee","2000-04-30",96579.9471330435
"170","Indiana","2000-04-30",92930.0446137838
"171","Maryland","2000-04-30",146099.734665472
"172","Missouri","2000-04-30",88277.3949411532
"173","Wisconsin","2000-04-30",108839.566016241
"174","Colorado","2000-04-30",183010.02919895
"175","Minnesota","2000-04-30",119766.085274366
"176","South Carolina","2000-04-30",104251.611989812
"177","Alabama","2000-04-30",79754.7982307635
"178","Louisiana","2000-04-30",87588.925801085
"179","Kentucky","2000-04-30",81219.3501457747
"180","Oregon","2000-04-30",151546.794531614
"181","Oklahoma","2000-04-30",73117.5341905545
"182","Connecticut","2000-04-30",173757.801694677
"183","Utah","2000-04-30",170906.073239313
"184","Iowa","2000-04-30",78872.476283131
"185","Nevada","2000-04-30",165512.818130574
"186","Arkansas","2000-04-30",70985.161000758
"187","Mississippi","2000-04-30",69773.9025057629
"188","Kansas","2000-04-30",74275.4972034984
"189","New Mexico","2000-04-30",NA
"190","Nebraska","2000-04-30",110633.334205784
"191","Idaho","2000-04-30",119621.667644552
"192","West Virginia","2000-04-30",60754.5354190728
"193","Hawaii","2000-04-30",207910.503696896
"194","New Hampshire","2000-04-30",137635.421880663
"195","Maine","2000-04-30",97481.5350039619
"196","Rhode Island","2000-04-30",134764.983483134
"197","Montana","2000-04-30",NA
"198","Delaware","2000-04-30",138326.517230567
"199","South Dakota","2000-04-30",94003.4094963409
"200","North Dakota","2000-04-30",NA
"201","Alaska","2000-04-30",128344.304515625
"202","District of Columbia","2000-04-30",173144.722051546
"203","Vermont","2000-04-30",92261.816523258
"204","Wyoming","2000-04-30",NA
"205","California","2000-05-31",197606.250171505
"206","Texas","2000-05-31",107440.03479032
"207","Florida","2000-05-31",112225.246638448
"208","New York","2000-05-31",130234.712173701
"209","Pennsylvania","2000-05-31",92132.9931097295
"210","Illinois","2000-05-31",117248.124990665
"211","Ohio","2000-05-31",100539.209193423
"212","Georgia","2000-05-31",118392.350554432
"213","North Carolina","2000-05-31",123002.285210816
"214","Michigan","2000-05-31",102700.180323347
"215","New Jersey","2000-05-31",162076.512868129
"216","Virginia","2000-05-31",120862.026300787
"217","Washington","2000-05-31",178977.453279887
"218","Arizona","2000-05-31",135522.574886748
"219","Massachusetts","2000-05-31",203385.239521808
"220","Tennessee","2000-05-31",96806.9689268011
"221","Indiana","2000-05-31",92724.3918344979
"222","Maryland","2000-05-31",146616.826990677
"223","Missouri","2000-05-31",88740.2485373868
"224","Wisconsin","2000-05-31",109181.80834454
"225","Colorado","2000-05-31",184760.345979319
"226","Minnesota","2000-05-31",120704.042290196
"227","South Carolina","2000-05-31",104641.935466719
"228","Alabama","2000-05-31",79980.4174074053
"229","Louisiana","2000-05-31",87902.1754371466
"230","Kentucky","2000-05-31",81463.8636709737
"231","Oregon","2000-05-31",152114.228484321
"232","Oklahoma","2000-05-31",73458.2038064957
"233","Connecticut","2000-05-31",174695.453508348
"234","Utah","2000-05-31",172217.150471382
"235","Iowa","2000-05-31",79210.7883686801
"236","Nevada","2000-05-31",166261.792601292
"237","Arkansas","2000-05-31",71218.4660099608
"238","Mississippi","2000-05-31",70016.1221554658
"239","Kansas","2000-05-31",74463.943559427
"240","New Mexico","2000-05-31",NA
"241","Nebraska","2000-05-31",110752.463570493
"242","Idaho","2000-05-31",119935.194632779
"243","West Virginia","2000-05-31",60854.815279785
"244","Hawaii","2000-05-31",209102.062519814
"245","New Hampshire","2000-05-31",138529.201695462
"246","Maine","2000-05-31",98074.7881287461
"247","Rhode Island","2000-05-31",135992.443124958
"248","Montana","2000-05-31",NA
"249","Delaware","2000-05-31",139018.115595496
"250","South Dakota","2000-05-31",93844.4558134086
"251","North Dakota","2000-05-31",NA
"252","Alaska","2000-05-31",128501.999767527
"253","District of Columbia","2000-05-31",174837.822503267
"254","Vermont","2000-05-31",92803.2995259271
"255","Wyoming","2000-05-31",NA
"256","California","2000-06-30",199926.835650392
"257","Texas","2000-06-30",107537.649464717
"258","Florida","2000-06-30",112864.176828117
"259","New York","2000-06-30",131252.94595212
"260","Pennsylvania","2000-06-30",92519.9407982106
"261","Illinois","2000-06-30",117875.036700022
"262","Ohio","2000-06-30",101054.439130067
"263","Georgia","2000-06-30",119133.165320784
"264","North Carolina","2000-06-30",123492.268278088
"265","Michigan","2000-06-30",103362.621035404
"266","New Jersey","2000-06-30",163169.573036459
"267","Virginia","2000-06-30",121439.047839232
"268","Washington","2000-06-30",179816.845939747
"269","Arizona","2000-06-30",136165.772039499
"270","Massachusetts","2000-06-30",205182.969233999
"271","Tennessee","2000-06-30",97033.8138135897
"272","Indiana","2000-06-30",92792.273964973
"273","Maryland","2000-06-30",147242.17954082
"274","Missouri","2000-06-30",89249.680422526
"275","Wisconsin","2000-06-30",109582.547748886
"276","Colorado","2000-06-30",186646.427840204
"277","Minnesota","2000-06-30",121791.475107988
"278","South Carolina","2000-06-30",105066.87825194
"279","Alabama","2000-06-30",80256.0539868106
"280","Louisiana","2000-06-30",88244.4669045005
"281","Kentucky","2000-06-30",81738.0868987517
"282","Oregon","2000-06-30",152640.113077563
"283","Oklahoma","2000-06-30",73780.4143969098
"284","Connecticut","2000-06-30",175627.744838813
"285","Utah","2000-06-30",173668.454556962
"286","Iowa","2000-06-30",79549.2473422912
"287","Nevada","2000-06-30",166929.286444387
"288","Arkansas","2000-06-30",71445.8629438398
"289","Mississippi","2000-06-30",70368.1376885817
"290","Kansas","2000-06-30",74680.1363899568
"291","New Mexico","2000-06-30",NA
"292","Nebraska","2000-06-30",110819.132349349
"293","Idaho","2000-06-30",120317.217873199
"294","West Virginia","2000-06-30",61018.0828695432
"295","Hawaii","2000-06-30",210417.598343956
"296","New Hampshire","2000-06-30",139475.581116407
"297","Maine","2000-06-30",98737.241392431
"298","Rhode Island","2000-06-30",136935.943588909
"299","Montana","2000-06-30",NA
"300","Delaware","2000-06-30",139784.109000759
"301","South Dakota","2000-06-30",93736.8291202524
"302","North Dakota","2000-06-30",NA
"303","Alaska","2000-06-30",128615.703302131
"304","District of Columbia","2000-06-30",176792.24905983
"305","Vermont","2000-06-30",93306.7123894431
"306","Wyoming","2000-06-30",NA
"307","California","2000-07-31",202386.141915715
"308","Texas","2000-07-31",107596.810360515
"309","Florida","2000-07-31",113507.890792425
"310","New York","2000-07-31",132152.086107659
"311","Pennsylvania","2000-07-31",92930.1891152874
"312","Illinois","2000-07-31",118556.661378159
"313","Ohio","2000-07-31",101566.533782803
"314","Georgia","2000-07-31",119881.565724976
"315","North Carolina","2000-07-31",123971.404781445
"316","Michigan","2000-07-31",104134.466916375
"317","New Jersey","2000-07-31",164412.997018105
"318","Virginia","2000-07-31",122144.831689709
"319","Washington","2000-07-31",180723.93063417
"320","Arizona","2000-07-31",136823.64275761
"321","Massachusetts","2000-07-31",207290.121263868
"322","Tennessee","2000-07-31",97280.4932888361
"323","Indiana","2000-07-31",93246.5068329257
"324","Maryland","2000-07-31",147977.577108017
"325","Missouri","2000-07-31",89797.3383082848
"326","Wisconsin","2000-07-31",110118.305119701
"327","Colorado","2000-07-31",188553.250872087
"328","Minnesota","2000-07-31",122986.953379202
"329","South Carolina","2000-07-31",105491.333470003
"330","Alabama","2000-07-31",80513.6329417091
"331","Louisiana","2000-07-31",88574.3821535739
"332","Kentucky","2000-07-31",82053.3288976579
"333","Oregon","2000-07-31",153076.62928645
"334","Oklahoma","2000-07-31",74113.4435406064
"335","Connecticut","2000-07-31",176677.013892937
"336","Utah","2000-07-31",175125.26111665
"337","Iowa","2000-07-31",79888.2994493946
"338","Nevada","2000-07-31",167450.042186263
"339","Arkansas","2000-07-31",71667.5184533671
"340","Mississippi","2000-07-31",70695.9335395672
"341","Kansas","2000-07-31",74965.0797126582
"342","New Mexico","2000-07-31",NA
"343","Nebraska","2000-07-31",110904.19174096
"344","Idaho","2000-07-31",120689.773854887
"345","West Virginia","2000-07-31",61230.8630818482
"346","Hawaii","2000-07-31",211659.781100133
"347","New Hampshire","2000-07-31",140784.529532007
"348","Maine","2000-07-31",99456.2473375473
"349","Rhode Island","2000-07-31",137804.498323471
"350","Montana","2000-07-31",NA
"351","Delaware","2000-07-31",140562.233469845
"352","South Dakota","2000-07-31",93662.740153203
"353","North Dakota","2000-07-31",NA
"354","Alaska","2000-07-31",128957.903785198
"355","District of Columbia","2000-07-31",178602.353083323
"356","Vermont","2000-07-31",93815.1724757848
"357","Wyoming","2000-07-31",NA
"358","California","2000-08-31",204966.731201065
"359","Texas","2000-08-31",107789.674994791
"360","Florida","2000-08-31",114162.966514162
"361","New York","2000-08-31",132937.764066851
"362","Pennsylvania","2000-08-31",93323.9931962063
"363","Illinois","2000-08-31",119520.799282866
"364","Ohio","2000-08-31",102064.1902151
"365","Georgia","2000-08-31",120674.15871366
"366","North Carolina","2000-08-31",124423.47095213
"367","Michigan","2000-08-31",104921.920737447
"368","New Jersey","2000-08-31",165936.402171485
"369","Virginia","2000-08-31",122964.06278596
"370","Washington","2000-08-31",181568.85004858
"371","Arizona","2000-08-31",137450.406788998
"372","Massachusetts","2000-08-31",209864.033733906
"373","Tennessee","2000-08-31",97535.9102070742
